Geography,Transmission,DiseaseType,Symptoms,Label,ICD
South Asia; Sub-Saharan Africa; coastal,waterborne; fecal-oral,bacterial,"['profuse watery diarrhea', 'vomiting', 'thirst', 'leg cramps', 'dehydration', 'weakness']",Cholera,A00
South Asia; Southeast Asia; Africa,foodborne; waterborne; fecal-oral,bacterial,"['sustained fever', 'abdominal pain', 'headache', 'constipation', 'rose spots', 'hepatosplenomegaly']",Typhoid and paratyphoid fevers,A01
global,foodborne,bacterial,"['diarrhea', 'abdominal cramps', 'fever', 'nausea', 'vomiting', 'headache']",Other salmonella infections,A02
global (crowded settings),fecal-oral; person-to-person; foodborne; waterborne,bacterial,"['bloody diarrhea', 'tenesmus', 'fever', 'abdominal cramps', 'nausea', 'malaise']",Shigellosis,A03
global,foodborne; waterborne; fecal-oral,bacterial,"['diarrhea', 'abdominal pain', 'fever', 'nausea', 'vomiting', 'dehydration']",Other bacterial intestinal infections,A04
global,foodborne,bacterial,"['nausea', 'vomiting', 'abdominal cramps', 'diarrhea', 'weakness', 'headache']","Other bacterial foodborne intoxications, NEC",A05
tropics; subtropics,fecal-oral; waterborne,parasitic,"['bloody diarrhea', 'abdominal pain', 'tenesmus', 'fever', 'weight loss', 'liver abscess pain']",Amoebiasis,A06
tropics; subtropics,fecal-oral; waterborne,parasitic,"['diarrhea', 'abdominal pain', 'bloating', 'weight loss', 'nausea', 'fatigue']",Other protozoal intestinal diseases,A07
global,fecal-oral; foodborne; waterborne,viral,"['watery diarrhea', 'vomiting', 'fever', 'abdominal cramps', 'dehydration', 'malaise']",Viral and other specified intestinal infections,A08
global,fecal-oral; foodborne; waterborne,bacterial,"['diarrhea', 'abdominal cramps', 'fever', 'nausea', 'vomiting', 'dehydration']",Infectious gastroenteritis and colitis,A09
global (high burden: India; China; Africa),airborne; droplets; aerosol,bacterial,"['chronic cough', 'hemoptysis', 'fever', 'night sweats', 'weight loss', 'fatigue']","Respiratory tuberculosis, confirmed",A15
global,airborne; droplets; aerosol,bacterial,"['chronic cough', 'fever', 'night sweats', 'weight loss', 'chest pain', 'fatigue']","Respiratory tuberculosis, not confirmed",A16
global,airborne; droplets,bacterial,"['headache', 'fever', 'neck stiffness', 'confusion', 'cranial neuropathy', 'seizures']",Tuberculosis of nervous system,A17
global,airborne; droplets,bacterial,"['lymphadenitis', 'back pain', 'abdominal pain', 'fever', 'weight loss', 'bone pain']",Tuberculosis of other organs,A18
global (advanced TB),airborne; droplets,bacterial,"['high fever', 'dyspnea', 'cough', 'malaise', 'weight loss', 'night sweats']",Miliary tuberculosis,A19
Madagascar; DRC; Peru; US Southwest,flea-borne; rodent; aerosol,bacterial,"['fever', 'painful buboes', 'chills', 'headache', 'weakness', 'cough']",Plague,A20
North America; Europe; Asia,tick-borne; deerfly-borne; animal contact,bacterial,"['fever', 'ulceroglandular lesion', 'lymphadenopathy', 'chills', 'headache', 'fatigue']",Tularemia,A21
global (livestock regions),spore; inhalational; animal contact; foodborne,bacterial,"['painless eschar', 'fever', 'edema', 'cough', 'dyspnea', 'septicemia']",Anthrax,A22
Mediterranean; Middle East; Latin America,unpasteurized dairy; animal contact; aerosol,bacterial,"['undulating fever', 'sweats', 'arthralgia', 'fatigue', 'headache', 'hepatosplenomegaly']",Brucellosis,A23
Southeast Asia; Northern Australia,soil; water; aerosol; animal contact,bacterial,"['fever', 'pneumonia', 'abscesses', 'weight loss', 'myalgia', 'sepsis']",Glanders and melioidosis,A24
global (urban rodents),bite; animal contact,bacterial,"['fever', 'rash', 'migratory arthralgia', 'myalgia', 'headache', 'chills']",Rat-bite fevers,A25
global (animal handlers),skin abrasion; animal contact,bacterial,"['localized cellulitis', 'violaceous plaques', 'fever', 'tenderness', 'swelling', 'lymphangitis']",Erysipeloid,A26
tropics; subtropics; flood-prone,waterborne; rodent urine; animal contact,bacterial,"['fever', 'myalgia (calves)', 'headache', 'conjunctival suffusion', 'jaundice', 'renal impairment']",Leptospirosis,A27
global (zoonoses),zoonotic contact,bacterial,"['fever', 'lymphadenopathy', 'rash', 'myalgia', 'headache', 'malaise']","Other zoonotic bacterial diseases, NEC",A28
South Asia; Brazil; Africa,respiratory; prolonged contact,bacterial,"['hypopigmented patches', 'numbness', 'paresthesia', 'muscle weakness', 'nerve thickening', 'ulcers']",Leprosy [Hansen disease],A30
global (water/soil exposure),environmental; aerosol; waterborne,bacterial,"['chronic cough', 'hemoptysis', 'fatigue', 'fever', 'weight loss', 'skin lesions']",Infection due to other mycobacteria,A31
global,foodborne; unpasteurized dairy,bacterial,"['fever', 'myalgia', 'diarrhea', 'sepsis', 'meningitis', 'headache']",Listeriosis,A32
low-resource settings,perinatal; umbilical contamination,bacterial,"['poor feeding', 'trismus', 'muscle spasms', 'rigidity', 'apnea', 'seizures']",Tetanus neonatorum,A33
low-resource settings,perinatal; wound contamination,bacterial,"['fever', 'muscle spasms', 'trismus', 'autonomic instability', 'rigidity', 'dysphagia']",Obstetrical tetanus,A34
global (under-immunized),wound contamination; spores,bacterial,"['trismus', 'muscle spasms', 'rigidity', 'opisthotonos', 'autonomic instability', 'respiratory failure']",Other tetanus,A35
global (under-immunized),respiratory; droplets,bacterial,"['sore throat', 'pseudomembrane', 'fever', 'neck swelling', 'dyspnea', 'toxemia']",Diphtheria,A36
global,droplets; respiratory,bacterial,"['paroxysmal cough', 'whoop', 'post-tussive vomiting', 'apnea', 'fever', 'rhinorrhea']",Whooping cough,A37
global,droplets; respiratory,bacterial,"['fever', 'sore throat', 'sandpaper rash', 'strawberry tongue', 'Pastia lines', 'desquamation']",Scarlet fever,A38
global,droplets; close contact,bacterial,"['sudden fever', 'headache', 'neck stiffness', 'photophobia', 'petechial rash', 'septic shock']",Meningococcal infection,A39
global,bloodstream; device-associated,bacterial,"['fever', 'hypotension', 'tachycardia', 'chills', 'confusion', 'organ dysfunction']",Streptococcal sepsis,A40
global,bloodstream; nosocomial,bacterial,"['fever', 'hypotension', 'tachypnea', 'chills', 'altered mental status', 'organ failure']",Other sepsis,A41
global,endogenous; mucosal breach,bacterial,"['chronic draining sinus', 'jaw swelling', 'fever', 'weight loss', 'abdominal mass', 'pelvic pain']",Actinomycosis,A42
global (soil),inhalational; cutaneous inoculation,bacterial,"['cough', 'fever', 'weight loss', 'brain abscess', 'skin nodules', 'weakness']",Nocardiosis,A43
Andes; global (cat exposure),sandfly-borne; louse-borne; cat scratch,bacterial,"['fever', 'lymphadenopathy', 'malaise', 'headache', 'anemia', 'angiomatous lesions']",Bartonellosis,A44
global,skin break; streptococcal,bacterial,"['well-demarcated erythema', 'fever', 'chills', 'tenderness', 'swelling', 'lymphangitis']",Erysipelas,A46
global,varied,bacterial,"['fever', 'myalgia', 'cough', 'rash', 'hypotension', 'malaise']","Other bacterial diseases, NEC",A48
global,varied; nosocomial,bacterial,"['fever', 'chills', 'malaise', 'tachycardia', 'pain', 'inflammation']",Bacterial infection of unspecified site,A49
global,congenital; vertical,bacterial,"['rhinitis', 'hepatosplenomegaly', 'rash', 'bone changes', 'jaundice', 'neurologic deficits']",Congenital syphilis,A50
global,sexual,bacterial,"['chancre', 'regional lymphadenopathy', 'fever', 'rash', 'mucous patches', 'condylomata lata']",Early syphilis,A51
global,sexual,bacterial,"['gummas', 'aortitis', 'tabes dorsalis', 'Argyll Robertson pupil', 'neurosyphilis', 'skin lesions']",Late syphilis,A52
global,sexual,bacterial,"['positive serology', 'neurologic signs', 'dermatologic signs', 'ocular involvement', 'arthralgia', 'fatigue']",Other and unspecified syphilis,A53
global,sexual,bacterial,"['urethral discharge', 'dysuria', 'pelvic pain', 'pharyngitis', 'proctitis', 'conjunctivitis']",Gonococcal infection,A54
tropics; subtropics,sexual,bacterial,"['painful inguinal nodes', 'genital ulcers', 'fever', 'rectal pain', 'discharge', 'proctocolitis']",Chlamydial lymphogranuloma (venereum),A55
global,sexual; perinatal,bacterial,"['cervicitis', 'urethritis', 'dysuria', 'pelvic pain', 'intermenstrual bleeding', 'epididymitis']",Other sexually transmitted chlamydial diseases,A56
tropics; subtropics,sexual,bacterial,"['painful genital ulcer', 'inguinal lymphadenitis', 'dysuria', 'fever', 'malodorous discharge', 'dyspareunia']",Chancroid,A57
India; Papua New Guinea; Caribbean,sexual,bacterial,"['painless beefy-red ulcers', 'bleeding', 'malodor', 'inguinal swelling', 'scarring', 'dysuria']",Granuloma inguinale [donovanosis],A58
global,sexual,parasitic,"['vaginitis', 'frothy discharge', 'pruritus', 'dysuria', 'dyspareunia', 'postcoital bleeding']",Trichomoniasis,A59
global,sexual; perinatal,viral,"['painful vesicles', 'ulcers', 'dysuria', 'itching', 'fever', 'inguinal lymphadenopathy']",Anogenital herpesviral infections,A60
global,sexual,viral,"['anogenital warts', 'pruritus', 'papules', 'discomfort', 'bleeding', 'pain']","Other predominantly sexually transmitted diseases, NEC",A63
global,sexual,bacterial,"['urethritis', 'vaginitis', 'pelvic pain', 'discharge', 'dysuria', 'genital ulcers']",Unspecified sexually transmitted disease,A64
arid regions (Middle East; North Africa),nonsexual contact; household,bacterial,"['skin lesions', 'mucosal ulcers', 'bone pain', 'lymphadenopathy', 'fever', 'nasal deformity']",Nonvenereal syphilis,A65
West Africa; Pacific; SE Asia,skin contact,bacterial,"['papillomas', 'ulcers', 'bone pain', 'periostitis', 'scarring', 'disfigurement']",Yaws,A66
Latin America,skin contact,bacterial,"['hypopigmented patches', 'scaling', 'itching', 'depigmentation', 'ulcers', 'scarring']",Pinta,A67
East Africa; worldwide (tick-borne),louse-borne; tick-borne,bacterial,"['recurrent fever spikes', 'chills', 'myalgia', 'headache', 'nausea', 'jaundice']",Relapsing fevers,A68
North America; Europe; Asia,tick-borne,bacterial,"['erythema migrans', 'fever', 'arthralgia', 'fatigue', 'neuropathy', 'carditis']",Other spirochetal infections,A69
global (bird exposure),aerosol; bird contact,bacterial,"['fever', 'dry cough', 'headache', 'myalgia', 'pneumonia', 'hepatosplenomegaly']",Chlamydia psittaci infection [psittacosis],A70
endemic communities (Africa; Middle East; Asia),contact; fomites; flies,bacterial,"['chronic conjunctivitis', 'photophobia', 'trichiasis', 'corneal opacity', 'tearing', 'eye discharge']",Trachoma,A71
global,sexual; respiratory; contact,bacterial,"['urethritis', 'cervicitis', 'conjunctivitis', 'pneumonitis', 'pelvic pain', 'discharge']",Other diseases caused by chlamydiae,A74
Africa; Asia; Latin America,louse-borne; flea-borne; mite-borne,bacterial,"['high fever', 'severe headache', 'myalgia', 'rash', 'cough', 'confusion']",Typhus fever,A75
global (tick habitats),tick-borne,bacterial,"['fever', 'headache', 'myalgia', 'eschar', 'rash', 'nausea']",Spotted fever [tick-borne rickettsioses],A77
global (livestock exposure),aerosol; animal birth products,bacterial,"['fever', 'pneumonia', 'hepatitis', 'headache', 'myalgia', 'night sweats']",Q fever,A78
global,tick-borne; mite-borne,bacterial,"['fever', 'rash', 'eschar', 'headache', 'myalgia', 'lymphadenopathy']",Other rickettsioses,A79
global (under-immunized),fecal-oral,viral,"['fever', 'asymmetric weakness', 'flaccid paralysis', 'myalgia', 'meningitis', 'respiratory symptoms']",Acute poliomyelitis,A80
global,iatrogenic; foodborne,viral,"['progressive dementia', 'ataxia', 'myoclonus', 'visual changes', 'behavioral change', 'akinetic mutism']",Atypical virus infections of central nervous system,A81
Asia; Africa; Latin America,bite,viral,"['paresthesia at bite', 'fever', 'agitation', 'hydrophobia', 'aerophobia', 'coma']",Rabies,A82
tropics; subtropics,mosquito-borne,viral,"['fever', 'headache', 'confusion', 'seizures', 'focal deficits', 'vomiting']",Mosquito-borne viral encephalitis,A83
Europe; Russia; East Asia,tick-borne,viral,"['fever', 'headache', 'neck stiffness', 'ataxia', 'paresis', 'encephalitis']",Tick-borne viral encephalitis,A84
global,vector-borne; respiratory,viral,"['fever', 'altered mental status', 'seizures', 'headache', 'vomiting', 'focal deficits']","Other viral encephalitis, NEC",A85
global,varied,viral,"['fever', 'headache', 'confusion', 'neck stiffness', 'seizures', 'photophobia']",Unspecified viral encephalitis,A86
global,fecal-oral; respiratory,viral,"['headache', 'fever', 'neck stiffness', 'photophobia', 'nausea', 'vomiting']",Viral meningitis,A87
global,varied,viral,"['fever', 'ataxia', 'encephalopathy', 'myelitis', 'neuropathy', 'rash']","Other viral infections of central nervous system, NEC",A88
global,varied,viral,"['fever', 'headache', 'malaise', 'neck stiffness', 'nausea', 'fatigue']",Unspecified viral infection of central nervous system,A89
tropics; subtropics (urban),mosquito-borne,viral,"['high fever', 'headache', 'retro-orbital pain', 'myalgia', 'arthralgia', 'rash']",Dengue fever,A90
tropics; subtropics,mosquito-borne,viral,"['plasma leakage', 'bleeding', 'thrombocytopenia', 'abdominal pain', 'vomiting', 'hepatomegaly']",Dengue haemorrhagic fever,A91
tropics; subtropics,mosquito-borne,viral,"['fever', 'rash', 'arthralgia', 'conjunctivitis', 'myalgia', 'headache']",Other mosquito-borne viral fevers,A92
tropics; subtropics,sandfly-borne; tick-borne; mite-borne,viral,"['fever', 'rash', 'myalgia', 'arthralgia', 'headache', 'fatigue']","Other arthropod-borne viral fevers, NEC",A93
tropics; subtropics,arthropod-borne,viral,"['fever', 'headache', 'myalgia', 'arthralgia', 'rash', 'malaise']",Unspecified arthropod-borne viral fever,A94
Africa; South America,mosquito-borne,viral,"['fever', 'jaundice', 'myalgia', 'bleeding', 'shock', 'renal failure']",Yellow fever,A95
West Africa; South America,rodent-borne; contact; aerosol,viral,"['fever', 'bleeding', 'shock', 'hepatitis', 'renal failure', 'encephalopathy']",Arenaviral haemorrhagic fevers,A96
Central Africa; East Africa,contact; aerosol; zoonotic,viral,"['fever', 'bleeding', 'vomiting', 'diarrhea', 'shock', 'multi-organ failure']","Other viral haemorrhagic fevers, NEC",A98
tropics; subtropics,contact; zoonotic,viral,"['fever', 'hemorrhage', 'shock', 'malaise', 'myalgia', 'renal failure']",Unspecified viral haemorrhagic fever,A99
